,Url,Description,Topics,Stars
0,https://github.com/webpack/webpack.git,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.","webpack,javascript,module-bundler,loaders,plugins,build-tool,web,web-performance,compiler,javascript-compiler,commonjs,amd,esm,es6,es2015,javascript-modules",58183
1,https://github.com/StreisandEffect/streisand.git,"Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists.","vpn,ansible,openvpn,wireguard,openconnect,anyconnect,shadowsocks,stunnel,tor,ssh,streisand,censorship",22366
2,https://github.com/jdg/MBProgressHUD.git,MBProgressHUD + Customizations,,15848
3,https://github.com/Powerlevel9k/powerlevel9k.git,"Powerlevel9k was a tool for building a beautiful and highly functional CLI, customized for you. P9k had a substantial impact on CLI UX, and its legacy is now continued by P10k.","zsh,powerline-fonts,terminal,terminal-themes,tools,eye-candy",13127
4,https://github.com/pqrs-org/Karabiner-Elements.git,Karabiner-Elements is a powerful utility for keyboard customization on macOS Sierra (10.12) or later.,"macos,keyboard",12878
5,https://github.com/medcl/elasticsearch-analysis-ik.git,"The IK Analysis plugin integrates Lucene IK analyzer into elasticsearch, support customized dictionary.","elasticsearch,ik-analysis,analyzer,java",11980
6,https://github.com/howdyai/botkit.git,"Botkit is an open source developer tool for building chat bots, apps and custom integrations for major messaging platforms.","botkit,botkit-studio,microsoft-bot-framework,bot-application,slack,facebook,twilio,cisco-spark,bots,sms,conversational-ui,workplacebyfacebook,microsoft-teams,bot,facebook-bot,facebook-messenger,glitch,making-bots,web-bot,chatbot",10328
7,https://github.com/apple/turicreate.git,Turi Create simplifies the development of custom machine learning models.,"machine-learning,deep-learning,python",10253
8,https://github.com/walkor/Workerman.git,"An asynchronous event driven PHP socket framework. Supports HTTP, Websocket, SSL and other custom protocols. PHP>=5.3.","websocket,timer,socket,event-driven,asynchronous,ws,wss,high-performance,socket-server,tcp",9258
9,https://github.com/chrisjenx/Calligraphy.git,Custom fonts in Android the easy way...,,8617
10,https://github.com/rough-stuff/wired-elements.git,Collection of custom elements that appear hand drawn. Great for wireframes or a fun look.,"webcomponents,lit-element,wireframes,wireframe,web-components,lit-html,prototyping",8568
11,https://github.com/IBAnimatable/IBAnimatable.git,"Design and prototype customized UI, interaction, navigation, transition and animation for App Store ready Apps in Interface Builder with IBAnimatable.","interface-builder,animation,transition-animation,swift,ui-components,uikit,ios,prototyping,protocol-oriented",8529
12,https://github.com/vuestorefront/vue-storefront.git,"The open-source frontend for any eCommerce. Built with a PWA and headless approach, using a modern JS stack. We have custom integrations with Magento, commercetools, Shopware and Shopify and total coverage is just a matter of time. The API approach also allows you to merge VSF with any third-party tool like CMS, payment gateways or analytics. Newest updates: https://blog.vuestorefront.io. Always Open Source, MIT license.","vue-storefront,pwa,headless,vue,ecommerce,magento,storefront,mobile,e-commerce,nuxt,magento2,shopware,shopify,commercetools,vue3,open-source,typescript,hacktoberfest,headless-commerce,ecommerce-platform",8479
13,https://github.com/roughike/BottomBar.git,(Deprecated) A custom view component that mimics the new Material Design Bottom Navigation pattern.,"android,material-design,bottom-navigation,library,java",8447
14,https://github.com/dunovank/jupyter-themes.git,Custom Jupyter Notebook Themes,"jupyter,jupyter-notebook,theme,css,syntax-highlighting,jupyter-themes",8412
15,https://github.com/mdbootstrap/perfect-scrollbar.git,Minimalistic but perfect custom scrollbar plugin. Get more free components with Material Design for Bootstrap UI Kit (link below),"javascript,frontend,scrollbar-plugin",8366
16,https://github.com/electron/electron-packager.git,"Customize and package your Electron app with OS-specific bundles (.app, .exe, etc.) via JS or CLI","electron,javascript,electron-packager,hacktoberfest",7609
17,https://github.com/huanghaibin-dev/CalendarView.git,"Android上一个优雅、万能自定义UI、支持周视图、自定义周起始、性能高效的日历控件，支持热插拔实现的UI定制！支持标记、自定义颜色、农历、自定义月视图各种显示模式等。Canvas绘制，速度快、占用内存低，你真的想不到日历居然还可以如此优雅！An elegant, highly customized and high-performance Calendar Widget on Android.","calendarview,calendar-component,calendar-view,calendar-widget,calendar,calendar-api,android",7585
18,https://github.com/rawgraphs/rawgraphs-app.git,A web interface to create custom vector-based visualizations on top of RAWGraphs core,"svg,vector-graphics,data-visualization,rawgraphs,d3js,data,ddj,design,visualization",7272
19,https://github.com/JakeWharton/ActionBarSherlock.git,[DEPRECATED] Action bar implementation which uses the native action bar on Android 4.0+ and a custom implementation on pre-4.0 through a single API and theme.,,7183
20,https://github.com/kubernetes-sigs/kustomize.git,Customization of kubernetes YAML configurations,"k8s-sig-cli,hacktoberfest",7111
21,https://github.com/ogaclejapan/SmartTabLayout.git,A custom ViewPager title strip which gives continuous feedback to the user when scrolling,"smarttablayout,android,viewpager",6893
22,https://github.com/dotansimha/graphql-code-generator.git,"A tool for generating code based on a GraphQL schema and GraphQL operations (query/mutation/subscription), with flexible support for custom plugins. ","graphql,typescript,schema,code-generator,graphql-schema,codegen,resolvers,react,angular,csharp,java,android",6827
23,https://github.com/renzifeng/ZFPlayer.git,Support customization of any player SDK and control layer(支持定制任何播放器SDK和控制层),"custom,player,controlview",6550
24,https://github.com/Atmosphere-NX/Atmosphere.git,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.,,6385
25,https://github.com/PySimpleGUI/PySimpleGUI.git,"{""Launched in 2018 Actively developed and supported. Supports tkinter, Qt, WxPython, Remi (in browser). Create custom layout GUI's simply.  Python 2.7 & 3 Support. 200+ Demo programs & Cookbook for rapid start. Extensive documentation.  Examples using Machine Learning(GUI, OpenCV Integration,  Chatterbot), Floating Desktop Widgets, Matplotlib + Pyplot integration, add GUI to command line scripts, PDF & Image Viewer. For both beginning and advanced programmers .""}","pysimplegui,gui-framework,python,tkinter,tkinter-python,tkinter-gui,wxpython,pyside2,qt,qt-gui,remi,gui,gui-window,gui-programming,progress-meter,popup-window,datavisualization,games,beginner-friendly,systemtray",6228
26,https://github.com/khanhas/spicetify-cli.git,"Commandline tool to customize Spotify client. Supports Windows, MacOS and Linux.","spotify,customization,golang,macos,linux,windows,command-line,command-line-tool",6145
27,https://github.com/Dimillian/MovieSwiftUI.git,SwiftUI & Combine app using MovieDB API. With a custom Flux (Redux) implementation.,,5599
28,https://github.com/raulriera/TextFieldEffects.git,"Custom UITextFields effects inspired by Codrops, built using Swift","swift,textfield,effects,animation",5557
29,https://github.com/li-xiaojun/XPopup.git,"🔥XPopup2.0版本重磅来袭，2倍以上性能提升，带来可观的动画性能优化和交互细节的提升！！！功能强大，交互优雅，动画丝滑的通用弹窗！可以替代Dialog，PopupWindow，PopupMenu，BottomSheet，DrawerLayout，Spinner等组件，自带十几种效果良好的动画， 支持完全的UI和动画自定义！(Powerful and Beautiful Popup，can absolutely replace Dialog，PopupWindow，PopupMenu，BottomSheet，DrawerLayout，Spinner. With built-in animators , very easy to custom popup view.)","popupwindow,bottomsheet,xpopup,dialog,drawerlayout,popup,popupmenu,popup-window,popup-dialog,popupdialog,popup-menu,popup-windows",5549
30,https://github.com/django-extensions/django-extensions.git,This is a repository for collecting global custom management extensions for the Django Framework. ,,5350
31,https://github.com/jonkykong/SideMenu.git,"Simple side/slide menu control for iOS, no code necessary! Lots of customization. Add it to your project in 5 minutes or less.","sidemenu,cocoapods,carthage,storyboard,menus,xcode,swift,menu,slidemenu",5080
32,https://github.com/mbleigh/acts-as-taggable-on.git,A tagging plugin for Rails applications that allows for custom tagging along dynamic contexts.,,4763
33,https://github.com/AliSoftware/OHHTTPStubs.git,"Stub your network requests easily! Test your apps with fake network data and custom response time, response code and headers!","ios,stubbing,network,swift,objective-c,stub,ohhttpstubs,mock,mock-server,mocking",4718
34,https://github.com/olado/doT.git,"The fastest + concise javascript template engine for nodejs and browsers. Partials, custom delimiters and more. ",,4698
35,https://github.com/dair-ai/ml-visuals.git,🎨 ML Visuals contains figures and templates which you can reuse and customize to improve your scientific writing.,"machine-learning,deep-learning,natural-language-processing,artificial-intelligence,design",4652
36,https://github.com/DingMouRen/LayoutManagerGroup.git,:point_right: Customize the LayoutManager of RecyclerView(自定义LayoutManager),,4645
37,https://github.com/justinwalsh/daux.io.git,Daux.io is an documentation generator that uses a simple folder structure and Markdown files to create custom documentation on the fly. It helps you create great looking documentation in a developer friendly way.,,4599
38,https://github.com/eggswift/ESTabBarController.git,":octocat: ESTabBarController is a Swift model for customize UI, badge and adding animation to tabbar items. Support lottie!","ios,objective-c,tabbar,tabbarcontroller,swift,animation",4463
39,https://github.com/appsmithorg/appsmith.git,Build custom CRUD apps that talk to any API or database. All without HTML or CSS. ,"low-code,admin-dashboard,app-builder,internal-tools,custom-internal,java,javascript,typescript,react,spring,admin-panels,workflows,widgets,crud",4377
40,https://github.com/buymeasoda/soda-theme.git,Dark and light custom UI themes for Sublime Text,,4376
41,https://github.com/Grsmto/simplebar.git,"Custom scrollbars vanilla javascript library with native scroll, done simple, lightweight, easy to use and cross-browser.",,4332
42,https://github.com/Ashok-Varma/BottomNavigation.git,This Library helps users to use Bottom Navigation Bar (A new pattern from google) with ease and allows ton of customizations,"material-design,bottomnavigation,bottombar,google-components,customizable,android,android-library,android-ui",4254
