,Mashup Name,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,Salonist,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Salonist software is a smart tool for handling salon services and activities. With the help of this tool, salon owners can earn more profits and also can streamline their business operations. Its inventory management feature helps to manage the inventory of the salon products.",Software-as-a-Service,04.01.2021,https://www.programmableweb.com/mashup/salonist,SaasGrid,"Software-as-a-Service, Sales, Software-as-a-Service",https://salonist.io/,Shrivra,Web
1,WaifuAI Desktop,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Talk to cute waifu on Desktop (Windows/Mac/Linux). Waifus are anime-themed personal assistants.",Artificial Intelligence,03.30.2021,https://www.programmableweb.com/mashup/waifuai-desktop,WaifuAI,"Artificial Intelligence, Chat, Machine Learning",https://waifuai.itch.io/waifu/,WaifuAI,Desktop
2,WaifuAI Android,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Talk to cute waifu on Android. Waifus are anime-themed personal assistants.",Artificial Intelligence,03.30.2021,https://www.programmableweb.com/mashup/waifuai-android,WaifuAI,"Artificial Intelligence, Chat, Machine Learning",https://play.google.com/store/apps/details?id=com.waifuai.waifu,WaifuAI,Mobile
3,SimplyCRMApps,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Gain more customers, optimize your business and earn more money - with Simply CRM.
Simply is the CRM you will actually use:
Easy-to-use - visual overviews, drag'n'drop, designed for humans, not PHD's in IT.
All-in-one platform - including CRM, Helpdesk, Financial &amp; Project Management.
Free support 24/7 - in your local language.
Making Sales Visual: Simply makes it easy to close more leads, manage your customers, and remember and prioritize you opportunities.
Support Customers: Integrated helpdesk and ticketing to followup on customer requests and get full overview.
Invoicing: Invoice customers directly from Simply, including
products, inventory &amp; recurring invoicing.
Projects: Manage projects with tasks, milestones and Gantt charts.
Try Simply for free right now, and we will help you get started!
https://simply-crm.com/try-for-free/
Question? Write us at support@simply-crm.com",B2B,01.13.2021,https://www.programmableweb.com/mashup/simplycrmapps,"Outlook Notifications REST, Google Calendar, WordPress.org, MailChimp, ConstantContact, Magento SOAP, SendGrid API, e-conomic, Mandrill","B2B, Applications, Business, Contacts, Customer Relationship Management, Products",https://simply-crm.com,Simply CRM,Web
4,Care Steps,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">CareSteps – Robust, Paperless Business Solutions
it provides versatile and paperless mobile business solutions that reduce your business cost and improve online market visibility. Go paperless today!",Digital Asset Management,11.21.2020,https://www.programmableweb.com/mashup/care-steps,CSV2GEO,"Digital Asset Management, eCommerce, Office",https://care-steps.com,Scale Campaign,Mobile
5,Scaleo,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Are you a business owner looking to add an affiliate marketing feature to your e-commerce platform or want to start your own marketing network? Scaleo allows you to create a seamless customer experience that fits your brand perfectly. Get detailed statistics with 30+ data breakdowns and 50+ data points. Track, analyze, and optimize your campaigns in real-time, filter out fraud traffic and clicks, get automated alerts and easy affiliate payouts.",Marketing,11.12.2020,https://www.programmableweb.com/mashup/scaleo,"Shopify Billing , Shopify Admin, Shopify Checkout","Marketing, Automation",https://www.scaleo.io,,Web
6,QuickMocker,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">QuickMocker is an online API tool that allows to create your own public domain and a fake web services, intercept and debug requests in live mode, use regular expressions as URL paths and multiple HTTP methods per endpoints, prioritize endpoints. With QuickMocker you can easily integrate 3rd party reverse requests (webhooks) using Local Forwarder feature that can forward request even to your localhost URL.",Tools,11.09.2020,https://www.programmableweb.com/mashup/quickmocker,Mocky,"Tools, API, API Management, Application Development",https://quickmocker.com,,Web
7,EspoCRM,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">EspoCRM is an open-source web application designed to build loyal relationships with customers and boost your sales. The software creates a unified collaborative place for your employees with all the necessary data inside - customer profiles and communications with them, information about opportunities, sales orders, invoices &amp; quotes. It allows to streamline the sales processes, automate routine operations, create personalized marketing campaigns and provide top quality customer service.",Customer Relationship Management,10.19.2020,https://www.programmableweb.com/mashup/espocrm-0,"Google Maps, Google Calendar, Google Contacts, MailChimp, Twilio","Customer Relationship Management, Business, Customer Service, Marketing, Open Source, Sales",https://www.espocrm.com/download/,Letrium LTD,Web
8,Email2Go,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Email2Go is an online service that helps you create email templates and test them on dozens different physical devices and applications.",Software-as-a-Service,10.06.2020,https://www.programmableweb.com/mashup/email2go,SQLify,"Software-as-a-Service, Design, Email",https://email2go.io,Email2Go,Web
9,Domain Rank Checker,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">The Domain Rank Checker is designed to uncover the keywords that drive most organic traffic to your website. Or you can use this tool to perform competitor research and discover what keywords your competitor is targeting and ranking for.",SEO,09.29.2020,https://www.programmableweb.com/mashup/domain-rank-checker,SEMrush,"SEO, Analytics, Comparisons, Marketing, Search",https://www.seoreviewtools.com/domain-rank-checker/,SEO Review Tools,Web
10,Core Web Vitals Test,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Use the Core Web Vitals checker to see if your website passes the Google web vitals test including:
# Largest Contentful Paint (LCP)
# First Input Delay (FID)
# Cumulative Layout Shift (CLS)
When a page doesn't pass the Core Web Vitals test, the tool will show the issues that need to be addressed to pass the test.",SEO,09.24.2020,https://www.programmableweb.com/mashup/core-web-vitals-test,Lighthouse,"SEO, Analytics, Marketing, Search",https://www.seoreviewtools.com/core-web-vitals-test/,SEO Review Tools,Web
11,Trump's Circle of Death,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">If you laid every American who died from COVID-19 in a circle around Trump Tower, this is how big it would be. This mashup uses the CoronaTracker API to visualize COVID19 data.",Coronavirus,08.25.2020,https://www.programmableweb.com/mashup/trumps-circle-death,CoronaTracker,"Coronavirus, COVID-19, Politics",https://deathcount.us/circle/,,Web
12,Treemily,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Treemily is an online family tree builder that helps users create diverse visualizations of their family. The platform is free for all basic functionality and family tree designs, with paid membership options available for access to more robust customization options. Users can purchase the designs as downloads or ready made prints, from posters to framed canvases. Since the tree builder templates are the key novelty of the Treemily platform, users can simply import their existing lineage as a GEDCOM file, and generate visualizations.",Genealogy,08.20.2020,https://www.programmableweb.com/mashup/treemily,CSS Mania,Genealogy,https://treemily.com/,Famolive Inc,Web
13,Vacationic,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">Provides an overview of travel highlights around the world using interactive maps with destinations such as cities, beaches, national parks and cultural sites.",Travel,08.11.2020,https://www.programmableweb.com/mashup/vacationic,"Flickr, Google AdSense, Google Ad Manager, YouTube","Travel, Mapping, Photos, Video",https://vacationic.com/,Vacationic,Web
14,CryptoCRIT,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">CryptoCRIT is an open-source Cryptocurrency project which facilitates a Cryptocurrency wallet for making payments. The associated Cryptocurrency is called CritCoin.",Cryptocurrency,08.08.2020,https://www.programmableweb.com/mashup/cryptocrit,Bitcoin Payment,"Cryptocurrency, Blockchain, Cryptocurrency, Encoding",https://github.com/rgab1508/CryptoCRIT,TheAbbie,Web
15,PEARL,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"">PEARL is a digital trade payables automation tool that streamlines an organisation’s “Procure to Pay” business cycle resulting in tangible savings &amp; an improved partner ecosystem.",Accounting,07.23.2020,https://www.programmableweb.com/mashup/pearl,Zoho CRM,"Accounting, Accounts, Financial",https://www.myndsolution.com/pearl.php,MYND Solutions Pvt. Ltd.,Desktop
