,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0, The Jeet CSS Framework by MojoTech aims to be a grid system with the option to integrate fractions (or float numbers) as context that generates a percentage based width and gutter for grids.,09.25.2015,https://www.programmableweb.com/framework/jeet-css-framework-mojo-tech,CSS,MojoTech,http://jeet.gs,https://github.com/mojotech/jeet,
1, The Responsive Broilerplate CSS Framework by fernando monteiro aims to be a lightweight (3kb) cross browser grid system made with three main classes and 12 columns.,09.25.2015,https://www.programmableweb.com/framework/responsive-broilerplate-css-framework-fernando-monteiro,CSS,Independent Developer,http://responsiveboilerplate.com/,https://github.com/newaeonweb/responsiveboilerplate,
2, The Susy CSS Framework allows developers to make custom layouts with CSS. The framework requires Sass.,09.25.2015,https://www.programmableweb.com/framework/susy-css-framework-eric-suzzane,CSS,Independent Developer,http://susy.oddbird.net/,https://github.com/ericam/susy/,
3," The Inuit CSS Framework by Harry Roberts aims to provide a scalable, Sass-based, BEM, OOCSS framework. The framework is geared toward being less code heavy, and for developers that are providing abstraction and an OO approach. the framework's features include: design patterns, nestable, fluid grids; a double-stranded heading hierarchy; sprites; buttons and others.",09.25.2015,https://www.programmableweb.com/framework/inuit-css-framework-harry-roberts,CSS,Independent Developer,http://inuitcss.com/,https://github.com/csswizardry/inuit.css/,
4," TopCoat CSS Framework by TopCoat aims to be a BEM oriented, themeable and responsive framework written in CSS.",09.25.2015,https://www.programmableweb.com/framework/topcoat-javasctipt-framework-topcoat,CSS,Topcoat,http://topcoat.io/,https://github.com/topcoat/topcoat,
5," Vert.x Core is an open source framework for building responsive apps in the Java Virtual Machine (JVM). Vert.x Core is a suite of APIs that handle tasks like: writing TCP clients and servers, writing HTTP clients and servers, shared data, datagram Sockets, DNS client, file system access, clustering and more. Although based in Java, the Vert.x also offers idiomatic API equivalents in Ruby, JavaScript, Ruby and Groovy. See the project page for detailed descriptions of Vert.x's capabilities and full API documentation. The project is developed with the Eclipse Foundation and licensed under the Eclipse Public License 1.0 and Apache License 2.0.",09.18.2015,https://www.programmableweb.com/framework/vert.x-core-framework-vert.x,"Groovy, Java, JavaScript, Ruby",Independent Developer,http://vertx.io/docs/,https://github.com/eclipse/vert.x,
6, The Face++ iOS SDK by Face++ offers interaction with the API in Objective-C language with the goal to aggregate image recognition features into an Apple application. Resources include step by step instructions to integrate FacePlusPlus SDK into an iOS project. Text on GitHub available in English and Chinese.,09.10.2015,https://www.programmableweb.com/framework/face-ios-sdk-face,Objective-C,Face++,http://www.faceplusplus.com/dev-tools-sdks/,https://github.com/FacePlusPlus/facepp-ios-sdk,
7," This is the Python SDK for Cloud Elements allowing developers to access and integrate the functionality of Cloud Elements with other applications through Python. Cloud Elements is an API management and integration platform that helps developers design, manage, and integrate their APIs.",08.25.2015,https://www.programmableweb.com/framework/cloud-elements-python-sdk-mobileworks,Python,Cloud Elements,http://cloud-elements.com/developer/#python-sdk,https://github.com/MobileWorks/cloudelements,
8, This framework provides access to the Common Works Registration (CWR) through Python. CWR is the standard for registration and revision of musical works.,08.16.2015,https://www.programmableweb.com/framework/common-works-registration-python-framework-weso,Python,Independent Developer,https://pypi.python.org/pypi/CWR-API/0.0.24,,
9," Crossroads is an Internet of Things framework that aims to simplify big data. It is targeted to vendors, devices, and platforms. This framework in Objective-C is available contacting Feeney Wireless, a company based in Oregon, USA dedicated to facilitate the Internet of Things. For more information, visit http://feeneywireless.com/company/contact_us",08.16.2015,https://www.programmableweb.com/framework/crossroads-internet-things-ios-framework-feeney-wireless,Objective-C,Feeney Wireless,http://feeneywireless.com/,https://crossroads.feeneywireless.com/crossroads/login.php?Request=nZJRS8NADMffBb/Dce9tr4ogRzuoG2JhalmriG/nNXMH7V1N7jb27a1zhSH4oCFPyT%2B/kD9hjLGsCH5jV/ARgDxTw1C2OX9ZLWohRMrPz9hXPAOScTbnF7GYaiVRgNKSV9aPDZFeReIyEmkjrqUQY75Oygqdd9p1N8a2xr7nPKCVTpEhaVUPJL2WdXG/lCNdvn2LSN41TRVVj3VzgtmaFvBhnMn5xvuBZJJodEToVEvxGsDCfmcQOiCKtetPusmEKYgA/XjN3FkKPWANuDUanlbL/1BnR%2BwU2cEXnP2ZlCXHyZ/Ar3vLReU6o/es6Dq3myMoP3rgMQBntw575X93NY3TQ8W00foglcHSANqsDbQ8Oe7LktNHmH0C,
10," Feeney Wireless, known by providing Internet of Things services, recently released Crossroads, a framework that aims to simplify IoT for big data projects. The framework in Java language for Android development is available contacting the company at http://feeneywireless.com/company/contact_us",08.16.2015,https://www.programmableweb.com/framework/crossroads-internet-things-android-framework-feeney-wireless,Java,Feeney Wireless,http://feeneywireless.com/,https://crossroads.feeneywireless.com/crossroads/login.php?Request=nZJRS8NADMffBb/Dce9tr4ogRzuoG2JhalmriG/nNXMH7V1N7jb27a1zhSH4oCFPyT%2B/kD9hjLGsCH5jV/ARgDxTw1C2OX9ZLWohRMrPz9hXPAOScTbnF7GYaiVRgNKSV9aPDZFeReIyEmkjrqUQY75Oygqdd9p1N8a2xr7nPKCVTpEhaVUPJL2WdXG/lCNdvn2LSN41TRVVj3VzgtmaFvBhnMn5xvuBZJJodEToVEvxGsDCfmcQOiCKtetPusmEKYgA/XjN3FkKPWANuDUanlbL/1BnR%2BwU2cEXnP2ZlCXHyZ/Ar3vLReU6o/es6Dq3myMoP3rgMQBntw575X93NY3TQ8W00foglcHSANqsDbQ8Oe7LktNHmH0C,
11, The PencilBlue Node.js Framework allows developers to access and integrate the functionality of PencilBlue with other applications. PencilBlue is a Node.js content management system for blogs and websites of all sizes.,07.27.2015,https://www.programmableweb.com/framework/pencilblue-node.js-framework-pencilblue,Node.js,PencilBlue,https://pencilblue.org/,http://pencilblue.github.io/,
12," The Eskimo Node.js Framework allows developers to create Node.js powered APIs, applications, and other Node.js products. Eskimo offers solutions and tools to developers to build APIs, applications, and more in Node.js.",07.27.2015,https://www.programmableweb.com/framework/eskimo-node.js-framework-niftylettuce,Node.js,Independent Developer,http://eskimo.io/,https://github.com/niftylettuce/eskimo,
13," The Mathjs Node.js and JavaScript Framework provides a math library for Node.js and JavaScript. Math.js provides a solution to integrate and work with big and complex numbers, units, and matrices in applications.",07.27.2015,https://www.programmableweb.com/framework/mathjs-node.js-javascript-framework-jos-de-jong,"JavaScript, Node.js",,http://mathjs.org/docs/introduction.html,https://github.com/josdejong/mathjs,
