,Framework Name,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0,Spring Framework," Spring is a powerful open source, loosely coupled, light weight, java based application framework meant for reducing the complexity of developing enterprise level applications. This framework is also called as the ""framework of frameworks"" as spring provides support to various other important frameworks like JSF, Hibernate, Structs, EJB etc.",02.19.2021,https://www.programmableweb.com/framework/spring-framework,Java,VMWare,https://www.interviewbit.com/spring-interview-questions/,https://spring.io/quickstart,https://www.vmware.com/help/legal.html
1,ComposerJS Framework," ComposerJS is a framework for building client and server RESTful application programming interfaces. It provides a way to build professional RESTful API services with enterprise features that easily extend to provide additional capability. This includes features such as; it is built on OpenAPI, provides global configuration, has a built in ORM layer and more. Composer projects start with an OpenAPI specification file and leverage JSON Web Tokens for user authentication.",06.04.2020,https://www.programmableweb.com/framework/composerjs-framework,JavaScript,AcceleratXR,https://www.composerjs.io/about.html,https://www.composerjs.io/reference/server/index.html,
2,Hanami," The Hanami Ruby Framework is a minimal, extremely fast, and lightweight framework for HTTP APIs. Usage includes the well known Hanami routing syntax and a new block syntax. If a developer passes a Ruby block to the route definition, it will be evaluated when an incoming HTTP request matches that route.
hanami-api is simple, low risk, very performant way to try Hanami and build a Ruby stack. It's a mini framework to build HTTP APIs and microservices.",03.05.2020,https://www.programmableweb.com/framework/hanami,Ruby,,https://hanamirb.org/blog/2020/02/26/introducing-hanami-api.html,,
3,Laravel, The Laravel PHP Framework in version 7 has been released. New features include:<ul><li>Laravel Airlock,,https://www.programmableweb.com/framework/laravel,PHP,Laravel,https://laravel.com/docs/7.x/releases,,
4,Kivy Python Framework," Kivy Python enables cross-platform OpenGL ES 2 functionalities in multi touch applications. The codebase allows for Windows, macOS, Linux, Android, and iOS integrations. Kivy offers more than 20 widgets, all highly extensible. Many parts are written in C using Cython, and tested with regression tests.",01.23.2020,https://www.programmableweb.com/framework/kivy-python-framework,Python,Kivy,https://github.com/kivy/kivy,,
5,FastAPI Python Framework," The FastAPI Python Framework builds APIs. With the key features, developers could develop faster, reduce errors, receive editor support, minimize code duplication, use interactive documentation, and use JSON schemas.",05.10.2019,https://www.programmableweb.com/framework/fastapi-python-framework,Python,,https://fastapi.tiangolo.com/,https://github.com/tiangolo/fastapi,
6,Jose JavaScript Framework," Jose Framework means Javascript Object Signing and Encryption. With the API, developers can authenticate data between parties through OAuth models. Jason Web Token and Jason Web Encryption are available as authorization methods.",05.02.2019,https://www.programmableweb.com/framework/jose-javascript-framework,JavaScript,,https://jose.readthedocs.io/en/latest/,,
7,Ravel Node.js Framework," The Ravel Node.js Framework assists in application development. It provides architecture, API documentation, deployment, and scaling as resources.",05.02.2019,https://www.programmableweb.com/framework/ravel-nodejs-framework,Node.js,,http://raveljs.github.io/docs/latest/,https://github.com/raveljs/ravel,
8,Google AMP JavaScript Framework," AMP is a JavaScript web component framework to create user-first; websites, stories, ads and emails. Google organizes information and makes it accessible for products and platforms for Search, Maps, Gmail, Android, Google Play, Chrome and YouTube.",05.02.2019,https://www.programmableweb.com/framework/google-amp-javascript-framework,JavaScript,Google,https://developers.google.com/amp,https://playground.amp.dev,https://github.com/ampproject/docs/blob/future/LICENSE
9,Planaria JavaScript Framework," The Planaria Framework allows you to build a server-less application, and run a specialized Planaria backend as a service plus more. Planaria is a JavaScript framework that is containerized as an API Microservice and powered by Bitcoin.",03.25.2019,https://www.programmableweb.com/framework/planaria-javascript-framework,JavaScript,Planaria,https://docs.planaria.network/#/intro,https://github.com/interplanaria/planaria,https://github.com/interplanaria/planaria/blob/master/LICENSE
10,Yabeda Ruby Framework," The Yabeda Ruby Framework is a Ruby instrumentation framework that makes it easier for developers to monitor their Ruby applications. This framework works with Rails, Sidekiq, and Prometheus.",03.15.2019,https://www.programmableweb.com/framework/yabeda-ruby-framework,Ruby,Evil Martians,https://evilmartians.com/chronicles/meet-yabeda-modular-framework-for-instrumenting-ruby-applications,https://github.com/yabeda-rb/yabeda,
11,Chancla.io Java Framework," Chancla.io - Hyper Agile API Development Platform
With Chancla.io, software developers may rapidly develop APIs that integrate with third-party services, such as, MongoDB (mLab.com), Redis (redislabs.com), and Amazon Aurora to name a few.
Software developers, of all skill levels, are amazed how effortlessly they are able to build and deploy APIs with Chancla.io.",02.07.2019,https://www.programmableweb.com/framework/chanclaio-java-framework,"Groovy, Java, Linux",,https://www.chancla.io/,,
12,Hapi.js," Hapi.js is a configuration-centric framework that allows developers to reuse application logic in a ""highly modular and prescriptive approach"". Hapi.js offers built-in support for input validation, caching, authentication, and others. This framework is used to build enterprise-quality web applications and services.",01.08.2019,https://www.programmableweb.com/framework/hapijs,Node.js,,http://hapijs.com/,https://github.com/hapijs/hapi,
13,Astera Centerprise .NET Framework, The Astera Centerprise .NET Framework assists in data integration for business applications. Centerprise aims to ease the use of Microsoft .NET APIs.,01.08.2019,https://www.programmableweb.com/framework/astera-centerprise-net-framework,.Net,Zendesk,https://astera.zendesk.com/hc/en-us/articles/115000510183%20,,
14,Webix Jet," Webix Jet is a micro framework for Webix UI-based single-page applications that work with big amounts of data. Webix Jet allows you to create flexible, easily maintainable apps, where data and visual presentations are clearly separated, interface elements can be easily combined and reused, all parts can be developed and tested separately - all with minimal code footprint. It has a ready to use solution for all kinds of tasks, from simple admin pages to fully-fledged apps with multiple locales, customizable skins, and user access levels.",12.13.2018,https://www.programmableweb.com/framework/webix-jet,JavaScript,XB Software,https://webix.com/webixjet/,https://github.com/webix-hub/webix-jet,https://github.com/webix-hub/webix-jet#license-terms
15,dotConnect ADO.NET Data Providers Framework," The dotConnect ADO.NET Data Providers Framework offers a data connectivity service designed to build data-related applications. This framework integrates with high performance data providers for the major databases and popular cloud applications. The dotConnect ADO.NET Data Providers Framework supports LINQ to entities and entity SQL, Entity Framework Canonical Functions, dynamic database creation and deletion, and several database-specific features such as stored procedures. Additionally, the dotConnect ADO.NET Data Providers Framework provides wide support for database types including Oracle CURSORs and SDO_GEOMETRY.",11.27.2018,https://www.programmableweb.com/framework/dotconnect-adonet-data-providers-framework,.Net,Devart,https://www.devart.com/dotconnect/,,
16,ThinkGeo .NET Framework," The ThinkGeo .NET Framework allows developers to build their own .NET mapping applications for mobile, desktop, and web platforms. ThinkGeo provides a suite of GIS tools that includes vector and imagery maps, routing, geocoding, and elevation. These tools are available in three versions: an online cloud server with a RESTful API, an on-premises version that runs on Windows or Linux, or as objects that can ship to a desktop application royalty-free.",10.17.2018,https://www.programmableweb.com/framework/thinkgeo-net-framework,".Net, C#",,https://thinkgeo.com/,https://github.com/thinkgeo,
17,Ghost Division OSINT Python Framework," The Ghost Division OSINT Python Framework performs various techniques on Companies, People, Phone Number, Bitcoin Addresses, aggregating raw data, and giving data in multiple formats.
Linked to the <a href=""https://www.programmableweb.com/api/ghost-division-osint "">Ghost Division OSINT API",09.24.2018,https://www.programmableweb.com/framework/ghost-division-osint-python-framework,Python,DataSploit,https://github.com/DataSploit/datasploit,,
18,Facebook React 360 JavaScript Framework," Facebook React 360 JavaScript Framework allows you to create interactive browser-based 360˚ experiences. It is crucial for pairing powerful web APIs, such as WebGL and WebVR, with the React ecosystem, when creating apps that can be deployed across devices. Its deployment requires the onwards of NodeJS 6.0.0 and the onwards of yarn or npm 3.0.0 package managers.",08.27.2018,https://www.programmableweb.com/framework/facebook-react-360-javascript-framework,"JavaScript, Node.js",Facebook,https://facebook.github.io/react-360/,https://github.com/facebook/react-360,https://github.com/facebook/react-360/blob/master/LICENSE
