,Url,Description,Topics,Stars
0,https://github.com/d3/d3.git,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",visualization,96777
1,https://github.com/PhilJay/MPAndroidChart.git,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.","java,chart,graph,android,mpandroidchart",33284
2,https://github.com/blueimp/jQuery-File-Upload.git,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",,31031
3,https://github.com/rstacruz/nprogress.git,"For slim progress bars like on YouTube, Medium, etc",,22760
4,https://github.com/tqdm/tqdm.git,"A Fast, Extensible Progress Bar for Python and CLI","progressbar,progressmeter,progress-bar,meter,rate,console,terminal,time,progress,gui,python,parallel,cli,utilities,jupyter,tkinter,discord,telegram,pandas,keras",18266
5,https://github.com/dropzone/dropzone.git,"{""Dropzone is an easy to use drag'n'drop library. It supports image previews and shows nice progress bars.""}","dropzone,javascript,drag-and-drop,javascript-library,file-upload",15657
6,https://github.com/CodeByZach/pace.git,Automatically add a progress bar to your site.,"pace,progress-bar,pace-js,loading-bar,loading-indicator,loading-animation",15267
7,https://github.com/matryer/xbar.git,Put the output from any script or program into your macOS Menu Bar (the BitBar reboot),"mac,macosx,bitbar,menubar,scripting,xbar,macos-menu",14994
8,https://github.com/barryvdh/laravel-debugbar.git,Laravel Debugbar (Integrates PHP Debug Bar),"laravel,debugbar,hacktoberfest",12635
9,https://github.com/ossu/data-science.git,:bar_chart: Path to a free self-taught education in Data Science!,,11394
10,https://github.com/gyf-dev/ImmersionBar.git,android 4.4以上沉浸式状态栏和沉浸式导航栏管理，适配横竖屏切换、刘海屏、软键盘弹出等问题，可以修改状态栏字体颜色和导航栏图标颜色，以及不可修改字体颜色手机的适配，适用于Activity、Fragment、DialogFragment、Dialog，PopupWindow，一句代码轻松实现，以及对bar的其他设置，详见README。简书请参考：http://www.jianshu.com/p/2a884e211a62,"statusbar,navigationbar,bar,immersion,status,navigation,dialog,android,kotlin",9551
11,https://github.com/pock/pock.git,Widgets manager for MacBook Touch Bar,"macbook-pro,touchbar,dock,macos,control-strip,widgets,display-macos-dock",9094
12,https://github.com/c3js/c3.git,:bar_chart: A D3-based reusable chart library,"chart,d3,graphics,data-visualization,svg,graph,interactive-visualizations",9061
13,https://github.com/laobie/StatusBarUtil.git,A util for setting status bar style on Android App.,"statusbarutil,android,statusbar,utils",8608
14,https://github.com/polybar/polybar.git,A fast and easy-to-use status bar,"polybar,linux,bar,window-manager,i3wm,bspwm,hacktoberfest",8511
15,https://github.com/FineUploader/fine-uploader.git,"Multiple file upload plugin with image previews, drag and drop, progress bars. S3 and Azure support, image scaling, form support, chunking, resume, pause, and tons of other features.","fineuploader,javascript,web-development,files,vanilla-javascript,vanilla-js,standalone,api,file-upload,javascript-library,dropzone",8146
16,https://github.com/kimmobrunfeldt/progressbar.js.git,Responsive and slick progress bars ,"progressbar,javascript,animation",7406
17,https://github.com/JakeWharton/ActionBarSherlock.git,[DEPRECATED] Action bar implementation which uses the native action bar on Android 4.0+ and a custom implementation on pre-4.0 through a single API and theme.,,7183
18,https://github.com/ptomasroos/react-native-scrollable-tab-view.git,"Tabbed navigation that you can swipe between, each tab can have  its own ScrollView and maintain its own scroll position between swipes. Pleasantly animated. Customizable tab bar","react-native,tabs,swipe,animated",6686
19,https://github.com/leeoniya/uPlot.git,"📈 A small, fast chart for time series, lines, areas, ohlc & bars","time-series,ohlc,line-chart,performance,lightweight,plotting,graphs,charts,streaming,analytics,plot,data-visualization,chart,graph,timeseries,trend-analysis",6209
